prompt,completion
"[['x', none, 'x'], [none, 'o', 'o'], [none, none, 'x']]"," [1, 0]"
"[[none, none, none], [none, none, none], [none, 'x', none]]"," [2, 2]"
"[[none, none, 'x'], [none, none, none], [none, 'x', 'o']]"," [1, 1]"
"[[none, none, 'x'], [none, 'o', 'x'], [none, 'x', 'o']]"," [0, 0]"
"[[none, none, none], [none, none, none], [none, none, 'x']]"," [1, 1]"
"[['x', none, none], [none, 'o', none], [none, none, 'x']]"," [2, 1]"
"[['x', none, 'x'], [none, 'o', none], [none, 'o', 'x']]"," [0, 1]"
"[[none, none, none], [none, none, none], [none, 'x', none]]"," [2, 2]"
"[[none, none, none], [none, 'x', none], [none, 'x', 'o']]"," [0, 1]"
"[[none, 'o', 'x'], [none, 'x', none], [none, 'x', 'o']]"," [2, 0]"
"[[none, 'o', 'x'], ['x', 'x', none], ['o', 'x', 'o']]"," [1, 2]"
"[[none, none, none], [none, none, none], [none, 'x', none]]"," [2, 2]"
"[[none, none, none], [none, none, none], ['x', 'x', 'o']]"," [1, 2]"
"[[none, none, none], ['x', none, 'o'], ['x', 'x', 'o']]"," [0, 2]"
"[[none, 'x', none], [none, none, none], [none, none, none]]"," [2, 1]"
"[[none, 'x', none], ['x', none, none], [none, 'o', none]]"," [0, 2]"
"[[none, 'x', 'o'], ['x', none, none], ['x', 'o', none]]"," [0, 0]"
"[['o', 'x', 'o'], ['x', none, 'x'], ['x', 'o', none]]"," [1, 1]"
"[[none, none, none], [none, none, 'x'], [none, none, none]]"," [2, 2]"
"[[none, none, none], [none, none, 'x'], [none, 'x', 'o']]"," [1, 1]"
"[[none, none, none], ['x', 'o', 'x'], [none, 'x', 'o']]"," [0, 0]"
"[[none, none, none], [none, none, 'x'], [none, none, none]]"," [2, 2]"
"[[none, 'x', none], [none, none, 'x'], [none, none, 'o']]"," [2, 0]"
"[[none, 'x', none], ['x', none, 'x'], ['o', none, 'o']]"," [2, 1]"
"[[none, none, none], [none, none, none], [none, none, 'x']]"," [1, 1]"
"[[none, none, none], ['x', 'o', none], [none, none, 'x']]"," [2, 1]"
"[[none, none, none], ['x', 'o', none], ['x', 'o', 'x']]"," [0, 1]"
"[[none, none, none], [none, none, none], [none, none, 'x']]"," [1, 1]"
"[['x', none, none], [none, 'o', none], [none, none, 'x']]"," [2, 1]"
"[['x', 'x', none], [none, 'o', none], [none, 'o', 'x']]"," [0, 2]"
"[['x', 'x', 'o'], [none, 'o', 'x'], [none, 'o', 'x']]"," [2, 0]"
"[[none, none, 'x'], [none, none, none], [none, none, none]]"," [1, 1]"
"[[none, none, 'x'], [none, 'o', 'x'], [none, none, none]]"," [2, 2]"
"[[none, none, 'x'], [none, 'o', 'x'], [none, 'x', 'o']]"," [0, 0]"
"[[none, none, none], [none, none, none], [none, 'x', none]]"," [2, 2]"
"[[none, none, none], [none, 'x', none], [none, 'x', 'o']]"," [0, 1]"
"[[none, 'o', none], [none, 'x', 'x'], [none, 'x', 'o']]"," [1, 0]"
"[['x', 'o', none], ['o', 'x', 'x'], [none, 'x', 'o']]"," [2, 0]"
"[[none, none, none], [none, none, 'x'], [none, none, none]]"," [2, 2]"
"[[none, none, none], ['x', none, 'x'], [none, none, 'o']]"," [1, 1]"
"[[none, 'x', none], ['x', 'o', 'x'], [none, none, 'o']]"," [0, 0]"
"[[none, none, none], ['x', none, none], [none, none, none]]"," [2, 0]"
"[[none, none, none], ['x', none, none], ['o', none, 'x']]"," [1, 2]"
"[[none, none, none], ['x', 'x', 'o'], ['o', none, 'x']]"," [0, 0]"
"[['o', none, 'x'], ['x', 'x', 'o'], ['o', none, 'x']]"," [2, 1]"
"[[none, none, none], [none, none, 'x'], [none, none, none]]"," [2, 2]"
"[[none, none, none], [none, none, 'x'], ['x', none, 'o']]"," [1, 1]"
"[[none, 'x', none], [none, 'o', 'x'], ['x', none, 'o']]"," [0, 0]"
"[[none, 'x', none], [none, none, none], [none, none, none]]"," [2, 1]"
"[[none, 'x', 'x'], [none, none, none], [none, 'o', none]]"," [0, 0]"
"[['o', 'x', 'x'], ['x', none, none], [none, 'o', none]]"," [2, 2]"
"[['o', 'x', 'x'], ['x', none, none], ['x', 'o', 'o']]"," [1, 1]"
"[[none, none, none], ['x', none, none], [none, none, none]]"," [2, 0]"
"[[none, none, none], ['x', none, none], ['o', none, 'x']]"," [1, 2]"
"[[none, 'x', none], ['x', none, 'o'], ['o', none, 'x']]"," [1, 1]"
"[[none, 'x', 'x'], ['x', 'o', 'o'], ['o', none, 'x']]"," [0, 0]"
"[[none, 'x', none], [none, none, none], [none, none, none]]"," [2, 1]"
"[[none, 'x', none], ['x', none, none], [none, 'o', none]]"," [0, 2]"
"[[none, 'x', 'o'], ['x', none, none], [none, 'o', 'x']]"," [1, 1]"
"[['x', 'x', 'o'], ['x', 'o', none], [none, 'o', 'x']]"," [2, 0]"
"[[none, none, 'x'], [none, none, none], [none, none, none]]"," [1, 1]"
"[[none, none, 'x'], [none, 'o', none], [none, none, 'x']]"," [1, 2]"
"[['x', none, 'x'], [none, 'o', 'o'], [none, none, 'x']]"," [1, 0]"
"[[none, none, none], [none, none, none], [none, 'x', none]]"," [2, 2]"
"[[none, none, none], [none, none, none], ['x', 'x', 'o']]"," [1, 2]"
"[[none, 'x', none], [none, none, 'o'], ['x', 'x', 'o']]"," [0, 2]"
"[[none, none, none], [none, none, none], ['x', none, none]]"," [1, 1]"
"[[none, none, 'x'], [none, 'o', none], ['x', none, none]]"," [2, 1]"
"[['x', none, 'x'], [none, 'o', none], ['x', 'o', none]]"," [0, 1]"
"[[none, none, none], [none, none, none], [none, 'x', none]]"," [2, 2]"
"[['x', none, none], [none, none, none], [none, 'x', 'o']]"," [1, 1]"
"[['x', none, none], [none, 'o', none], ['x', 'x', 'o']]"," [1, 0]"
"[['x', none, none], ['o', 'o', 'x'], ['x', 'x', 'o']]"," [0, 2]"
"[['x', none, none], [none, none, none], [none, none, none]]"," [1, 1]"
"[['x', none, none], [none, 'o', none], [none, 'x', none]]"," [2, 2]"
"[['x', none, 'x'], [none, 'o', none], [none, 'x', 'o']]"," [0, 1]"
"[['x', 'o', 'x'], [none, 'o', 'x'], [none, 'x', 'o']]"," [2, 0]"
"[[none, 'x', none], [none, none, none], [none, none, none]]"," [2, 1]"
"[[none, 'x', 'x'], [none, none, none], [none, 'o', none]]"," [0, 0]"
"[['o', 'x', 'x'], [none, none, none], ['x', 'o', none]]"," [1, 1]"
"[['o', 'x', 'x'], [none, 'o', none], ['x', 'o', 'x']]"," [1, 2]"
"[[none, none, none], [none, none, 'x'], [none, none, none]]"," [2, 2]"
"[[none, none, none], ['x', none, 'x'], [none, none, 'o']]"," [1, 1]"
"[[none, 'x', none], ['x', 'o', 'x'], [none, none, 'o']]"," [0, 0]"
"[[none, none, none], ['x', none, none], [none, none, none]]"," [2, 0]"
"[[none, none, none], ['x', none, none], ['o', none, 'x']]"," [1, 2]"
"[[none, none, none], ['x', 'x', 'o'], ['o', none, 'x']]"," [0, 0]"
"[['o', 'x', none], ['x', 'x', 'o'], ['o', none, 'x']]"," [2, 1]"
"[[none, none, none], [none, none, none], [none, none, 'x']]"," [1, 1]"
"[[none, none, none], [none, 'o', none], ['x', none, 'x']]"," [2, 1]"
"[[none, none, none], ['x', 'o', none], ['x', 'o', 'x']]"," [0, 1]"
"[[none, none, none], [none, none, 'x'], [none, none, none]]"," [2, 2]"
"[[none, none, none], [none, 'x', 'x'], [none, none, 'o']]"," [1, 0]"
"[['x', none, none], ['o', 'x', 'x'], [none, none, 'o']]"," [2, 1]"
"[['x', none, none], ['o', 'x', 'x'], ['x', 'o', 'o']]"," [0, 2]"
"[[none, none, none], [none, none, none], [none, 'x', none]]"," [2, 2]"
"[[none, 'x', none], [none, none, none], [none, 'x', 'o']]"," [1, 1]"
"[[none, 'x', none], [none, 'o', 'x'], [none, 'x', 'o']]"," [0, 0]"
"[[none, none, none], [none, 'x', none], [none, none, none]]"," [2, 2]"
"[[none, 'x', none], [none, 'x', none], [none, none, 'o']]"," [2, 1]"
"[[none, 'x', 'x'], [none, 'x', none], [none, 'o', 'o']]"," [2, 0]"
"[[none, none, none], [none, none, none], [none, none, 'x']]"," [1, 1]"
"[[none, 'x', none], [none, 'o', none], [none, none, 'x']]"," [1, 2]"
"[[none, 'x', none], [none, 'o', 'o'], [none, 'x', 'x']]"," [1, 0]"
"[[none, none, none], [none, none, 'x'], [none, none, none]]"," [2, 2]"
"[[none, none, none], [none, none, 'x'], [none, 'x', 'o']]"," [1, 1]"
"[[none, none, 'x'], [none, 'o', 'x'], [none, 'x', 'o']]"," [0, 0]"
"[[none, none, none], ['x', none, none], [none, none, none]]"," [2, 0]"
"[[none, 'x', none], ['x', none, none], ['o', none, none]]"," [2, 2]"
"[[none, 'x', 'x'], ['x', none, none], ['o', none, 'o']]"," [2, 1]"
"[[none, none, none], ['x', none, none], [none, none, none]]"," [2, 0]"
"[[none, none, none], ['x', none, none], ['o', none, 'x']]"," [1, 2]"
"[[none, 'x', none], ['x', none, 'o'], ['o', none, 'x']]"," [1, 1]"
"[[none, 'x', none], ['x', 'o', 'o'], ['o', 'x', 'x']]"," [0, 2]"
"[[none, none, 'x'], [none, none, none], [none, none, none]]"," [1, 1]"
"[['x', none, 'x'], [none, 'o', none], [none, none, none]]"," [0, 1]"
"[['x', 'o', 'x'], [none, 'o', none], [none, 'x', none]]"," [2, 2]"
"[['x', 'o', 'x'], [none, 'o', none], ['x', 'x', 'o']]"," [1, 0]"
"[[none, none, none], [none, none, none], ['x', none, none]]"," [1, 1]"
"[[none, none, none], [none, 'o', 'x'], ['x', none, none]]"," [2, 2]"
"[['x', none, none], [none, 'o', 'x'], ['x', none, 'o']]"," [1, 0]"
"[['x', 'x', none], ['o', 'o', 'x'], ['x', none, 'o']]"," [0, 2]"
"[[none, none, none], ['x', none, none], [none, none, none]]"," [2, 0]"
"[[none, 'x', none], ['x', none, none], ['o', none, none]]"," [2, 2]"
"[[none, 'x', none], ['x', none, 'x'], ['o', none, 'o']]"," [2, 1]"
"[[none, none, none], [none, none, none], [none, none, 'x']]"," [1, 1]"
"[[none, none, none], [none, 'o', 'x'], [none, none, 'x']]"," [0, 2]"
"[['x', none, 'o'], [none, 'o', 'x'], [none, none, 'x']]"," [2, 0]"
"[[none, 'x', none], [none, none, none], [none, none, none]]"," [2, 1]"
"[[none, 'x', none], ['x', none, none], [none, 'o', none]]"," [0, 2]"
"[[none, 'x', 'o'], ['x', none, none], ['x', 'o', none]]"," [0, 0]"
"[['o', 'x', 'o'], ['x', none, none], ['x', 'o', 'x']]"," [1, 2]"
"[[none, none, none], [none, none, none], ['x', none, none]]"," [1, 1]"
"[[none, none, none], [none, 'o', none], ['x', none, 'x']]"," [2, 1]"
"[[none, 'x', none], [none, 'o', none], ['x', 'o', 'x']]"," [1, 2]"
"[['x', 'x', none], [none, 'o', 'o'], ['x', 'o', 'x']]"," [1, 0]"
"[[none, none, none], [none, none, none], [none, 'x', none]]"," [2, 2]"
"[[none, none, none], ['x', none, none], [none, 'x', 'o']]"," [0, 2]"
"[[none, none, 'o'], ['x', none, 'x'], [none, 'x', 'o']]"," [1, 1]"
"[[none, none, 'o'], ['x', 'o', 'x'], ['x', 'x', 'o']]"," [0, 0]"
"[[none, none, none], [none, none, none], [none, 'x', none]]"," [2, 2]"
"[[none, 'x', none], [none, none, none], [none, 'x', 'o']]"," [1, 1]"
"[[none, 'x', none], [none, 'o', none], ['x', 'x', 'o']]"," [0, 0]"
"[[none, none, none], [none, none, none], ['x', none, none]]"," [1, 1]"
"[['x', none, none], [none, 'o', none], ['x', none, none]]"," [1, 0]"
"[['x', none, 'x'], ['o', 'o', none], ['x', none, none]]"," [1, 2]"
"[[none, none, none], [none, none, none], [none, none, 'x']]"," [1, 1]"
"[['x', none, none], [none, 'o', none], [none, none, 'x']]"," [2, 1]"
"[['x', none, none], [none, 'o', none], ['x', 'o', 'x']]"," [0, 1]"
"[[none, none, none], [none, none, none], [none, none, 'x']]"," [1, 1]"
"[[none, 'x', none], [none, 'o', none], [none, none, 'x']]"," [1, 2]"
"[[none, 'x', none], ['x', 'o', 'o'], [none, none, 'x']]"," [2, 0]"
"[[none, 'x', none], ['x', 'o', 'o'], ['o', 'x', 'x']]"," [0, 2]"
"[[none, none, none], ['x', none, none], [none, none, none]]"," [2, 0]"
"[[none, none, none], ['x', none, 'x'], ['o', none, none]]"," [1, 1]"
"[[none, none, 'x'], ['x', 'o', 'x'], ['o', none, none]]"," [2, 2]"
"[['x', none, 'x'], ['x', 'o', 'x'], ['o', none, 'o']]"," [2, 1]"
"[[none, none, none], [none, 'x', none], [none, none, none]]"," [2, 2]"
"[['x', none, none], [none, 'x', none], [none, none, 'o']]"," [2, 0]"
"[['x', none, none], [none, 'x', 'x'], ['o', none, 'o']]"," [2, 1]"
"[[none, none, none], [none, none, none], ['x', none, none]]"," [1, 1]"
"[[none, 'x', none], [none, 'o', none], ['x', none, none]]"," [1, 2]"
"[[none, 'x', 'x'], [none, 'o', 'o'], ['x', none, none]]"," [1, 0]"
"[[none, none, none], [none, 'x', none], [none, none, none]]"," [2, 2]"
"[[none, none, none], [none, 'x', none], ['x', none, 'o']]"," [0, 2]"
"[[none, none, 'o'], ['x', 'x', none], ['x', none, 'o']]"," [1, 2]"
"[[none, 'x', none], [none, none, none], [none, none, none]]"," [2, 1]"
"[[none, 'x', none], ['x', none, none], [none, 'o', none]]"," [0, 2]"
"[[none, 'x', 'o'], ['x', 'x', none], [none, 'o', none]]"," [1, 2]"
"[['x', 'x', 'o'], ['x', 'x', 'o'], [none, 'o', none]]"," [2, 2]"
"[[none, none, none], [none, none, none], [none, none, 'x']]"," [1, 1]"
"[[none, 'x', none], [none, 'o', none], [none, none, 'x']]"," [1, 2]"
"[[none, 'x', none], [none, 'o', 'o'], ['x', none, 'x']]"," [1, 0]"
"[[none, none, 'x'], [none, none, none], [none, none, none]]"," [1, 1]"
"[[none, none, 'x'], [none, 'o', none], ['x', none, none]]"," [2, 1]"
"[[none, none, 'x'], [none, 'o', none], ['x', 'o', 'x']]"," [0, 1]"
"[[none, none, none], [none, none, none], [none, none, 'x']]"," [1, 1]"
"[[none, none, none], [none, 'o', none], [none, 'x', 'x']]"," [2, 0]"
"[['x', none, none], [none, 'o', none], ['o', 'x', 'x']]"," [0, 2]"
"[[none, none, none], [none, none, none], [none, 'x', none]]"," [2, 2]"
"[[none, none, none], [none, 'x', none], [none, 'x', 'o']]"," [0, 1]"
"[[none, 'o', none], [none, 'x', none], ['x', 'x', 'o']]"," [0, 2]"
"[[none, 'o', 'o'], [none, 'x', 'x'], ['x', 'x', 'o']]"," [0, 0]"
"[[none, none, none], [none, none, 'x'], [none, none, none]]"," [2, 2]"
"[[none, none, none], [none, none, 'x'], [none, 'x', 'o']]"," [1, 1]"
"[['x', none, none], [none, 'o', 'x'], [none, 'x', 'o']]"," [2, 0]"
"[['x', 'x', none], [none, 'o', 'x'], ['o', 'x', 'o']]"," [0, 2]"
"[[none, 'x', none], [none, none, none], [none, none, none]]"," [2, 1]"
"[[none, 'x', none], [none, none, 'x'], [none, 'o', none]]"," [0, 2]"
"[[none, 'x', 'o'], [none, 'x', 'x'], [none, 'o', none]]"," [1, 0]"
"[[none, 'x', 'o'], ['o', 'x', 'x'], ['x', 'o', none]]"," [2, 2]"
"[[none, none, none], [none, none, none], [none, none, 'x']]"," [1, 1]"
"[[none, none, none], [none, 'o', none], [none, 'x', 'x']]"," [2, 0]"
"[[none, none, none], ['x', 'o', none], ['o', 'x', 'x']]"," [0, 2]"
"[[none, none, none], [none, none, none], ['x', none, none]]"," [1, 1]"
"[['x', none, none], [none, 'o', none], ['x', none, none]]"," [1, 0]"
"[['x', none, none], ['o', 'o', none], ['x', none, 'x']]"," [1, 2]"
"[[none, none, none], [none, none, none], ['x', none, none]]"," [1, 1]"
"[[none, none, none], ['x', 'o', none], ['x', none, none]]"," [0, 0]"
"[['o', 'x', none], ['x', 'o', none], ['x', none, none]]"," [2, 2]"
"[[none, none, none], [none, none, none], [none, none, 'x']]"," [1, 1]"
"[[none, 'x', none], [none, 'o', none], [none, none, 'x']]"," [1, 2]"
"[['x', 'x', none], [none, 'o', 'o'], [none, none, 'x']]"," [1, 0]"
"[[none, none, none], ['x', none, none], [none, none, none]]"," [2, 0]"
"[['x', none, none], ['x', none, none], ['o', none, none]]"," [2, 2]"
"[['x', none, 'x'], ['x', none, none], ['o', none, 'o']]"," [2, 1]"
"[[none, none, none], [none, none, none], [none, none, 'x']]"," [1, 1]"
"[[none, none, 'x'], [none, 'o', none], [none, none, 'x']]"," [1, 2]"
"[[none, none, 'x'], [none, 'o', 'o'], ['x', none, 'x']]"," [1, 0]"
"[[none, none, none], ['x', none, none], [none, none, none]]"," [2, 0]"
"[[none, 'x', none], ['x', none, none], ['o', none, none]]"," [2, 2]"
"[[none, 'x', 'x'], ['x', none, none], ['o', none, 'o']]"," [2, 1]"
"[[none, 'x', none], [none, none, none], [none, none, none]]"," [2, 1]"
"[[none, 'x', none], [none, none, none], [none, 'o', 'x']]"," [0, 2]"
"[['x', 'x', 'o'], [none, none, none], [none, 'o', 'x']]"," [1, 1]"
"[['x', 'x', 'o'], ['x', 'o', none], [none, 'o', 'x']]"," [2, 0]"
"[[none, none, none], [none, none, none], ['x', none, none]]"," [1, 1]"
"[['x', none, none], [none, 'o', none], ['x', none, none]]"," [1, 0]"
"[['x', none, none], ['o', 'o', 'x'], ['x', none, none]]"," [2, 2]"
"[['x', none, 'x'], ['o', 'o', 'x'], ['x', none, 'o']]"," [0, 1]"
"[[none, none, none], [none, none, none], ['x', none, none]]"," [1, 1]"
"[[none, none, none], [none, 'o', none], ['x', none, 'x']]"," [2, 1]"
"[['x', none, none], [none, 'o', none], ['x', 'o', 'x']]"," [0, 1]"
"[[none, none, none], [none, none, 'x'], [none, none, none]]"," [2, 2]"
"[[none, 'x', none], [none, none, 'x'], [none, none, 'o']]"," [2, 0]"
"[['x', 'x', none], [none, none, 'x'], ['o', none, 'o']]"," [2, 1]"
"[[none, none, none], [none, 'x', none], [none, none, none]]"," [2, 2]"
"[[none, none, none], [none, 'x', 'x'], [none, none, 'o']]"," [1, 0]"
"[['x', none, none], ['o', 'x', 'x'], [none, none, 'o']]"," [2, 1]"
"[['x', none, 'x'], ['o', 'x', 'x'], [none, 'o', 'o']]"," [2, 0]"
"[[none, none, none], [none, 'x', none], [none, none, none]]"," [2, 2]"
"[[none, none, none], [none, 'x', 'x'], [none, none, 'o']]"," [1, 0]"
"[['x', none, none], ['o', 'x', 'x'], [none, none, 'o']]"," [2, 1]"
"[['x', none, 'x'], ['o', 'x', 'x'], [none, 'o', 'o']]"," [2, 0]"
"[[none, none, none], ['x', none, none], [none, none, none]]"," [2, 0]"
"[[none, none, none], ['x', none, none], ['o', none, 'x']]"," [1, 2]"
"[[none, none, none], ['x', none, 'o'], ['o', 'x', 'x']]"," [1, 1]"
"[[none, 'x', none], ['x', 'o', 'o'], ['o', 'x', 'x']]"," [0, 2]"
"[[none, none, none], [none, none, 'x'], [none, none, none]]"," [2, 2]"
"[[none, none, none], [none, none, 'x'], ['x', none, 'o']]"," [1, 1]"
"[[none, 'x', none], [none, 'o', 'x'], ['x', none, 'o']]"," [0, 0]"
"[[none, none, none], [none, none, none], [none, none, 'x']]"," [1, 1]"
"[['x', none, none], [none, 'o', none], [none, none, 'x']]"," [2, 1]"
"[['x', none, none], [none, 'o', 'x'], [none, 'o', 'x']]"," [0, 1]"
"[[none, none, none], ['x', none, none], [none, none, none]]"," [2, 0]"
"[[none, 'x', none], ['x', none, none], ['o', none, none]]"," [2, 2]"
"[[none, 'x', none], ['x', none, 'x'], ['o', none, 'o']]"," [2, 1]"
"[[none, none, none], [none, none, none], [none, none, 'x']]"," [1, 1]"
"[[none, none, none], [none, 'o', 'x'], [none, none, 'x']]"," [0, 2]"
"[[none, none, 'o'], [none, 'o', 'x'], ['x', none, 'x']]"," [2, 1]"
"[[none, 'x', 'o'], [none, 'o', 'x'], ['x', 'o', 'x']]"," [1, 0]"
"[[none, 'x', none], [none, none, none], [none, none, none]]"," [2, 1]"
"[['x', 'x', none], [none, none, none], [none, 'o', none]]"," [0, 2]"
"[['x', 'x', 'o'], ['x', none, none], [none, 'o', none]]"," [2, 0]"
"[['x', 'x', 'o'], ['x', none, none], ['o', 'o', 'x']]"," [1, 1]"
"[[none, none, none], [none, none, none], [none, none, 'x']]"," [1, 1]"
"[[none, none, none], [none, 'o', none], ['x', none, 'x']]"," [2, 1]"
"[['x', none, none], [none, 'o', none], ['x', 'o', 'x']]"," [0, 1]"
"[['x', none, none], [none, none, none], [none, none, none]]"," [1, 1]"
"[['x', none, none], ['x', 'o', none], [none, none, none]]"," [2, 0]"
"[['x', none, none], ['x', 'o', none], ['o', none, 'x']]"," [0, 2]"
"[[none, none, none], [none, none, 'x'], [none, none, none]]"," [2, 2]"
"[['x', none, none], [none, none, 'x'], [none, none, 'o']]"," [2, 0]"
"[['x', 'x', none], [none, none, 'x'], ['o', none, 'o']]"," [2, 1]"
"[[none, none, none], [none, none, none], [none, 'x', none]]"," [2, 2]"
"[['x', none, none], [none, none, none], [none, 'x', 'o']]"," [1, 1]"
"[['x', none, none], ['x', 'o', none], [none, 'x', 'o']]"," [2, 0]"
"[['x', none, none], ['x', 'o', 'x'], ['o', 'x', 'o']]"," [0, 2]"
"[[none, 'x', none], [none, none, none], [none, none, none]]"," [2, 1]"
"[[none, 'x', none], [none, 'x', none], [none, 'o', none]]"," [2, 2]"
"[[none, 'x', none], ['x', 'x', none], [none, 'o', 'o']]"," [2, 0]"
"[[none, none, none], [none, none, none], [none, 'x', none]]"," [2, 2]"
"[['x', none, none], [none, none, none], [none, 'x', 'o']]"," [1, 1]"
"[['x', 'x', none], [none, 'o', none], [none, 'x', 'o']]"," [0, 2]"
"[['x', 'x', 'o'], [none, 'o', 'x'], [none, 'x', 'o']]"," [2, 0]"
"[[none, none, none], [none, none, none], [none, none, 'x']]"," [1, 1]"
"[['x', none, none], [none, 'o', none], [none, none, 'x']]"," [2, 1]"
"[['x', none, none], ['x', 'o', none], [none, 'o', 'x']]"," [0, 1]"
"[['x', none, none], [none, none, none], [none, none, none]]"," [1, 1]"
"[['x', none, none], [none, 'o', none], ['x', none, none]]"," [1, 0]"
"[['x', none, none], ['o', 'o', 'x'], ['x', none, none]]"," [2, 2]"
"[['x', none, 'x'], ['o', 'o', 'x'], ['x', none, 'o']]"," [0, 1]"
"[[none, none, none], [none, 'x', none], [none, none, none]]"," [2, 2]"
"[[none, none, none], [none, 'x', none], [none, 'x', 'o']]"," [0, 1]"
"[[none, 'o', none], [none, 'x', 'x'], [none, 'x', 'o']]"," [1, 0]"
"[[none, 'o', none], ['o', 'x', 'x'], ['x', 'x', 'o']]"," [0, 2]"
"[[none, none, none], ['x', none, none], [none, none, none]]"," [2, 0]"
"[[none, none, none], ['x', none, none], ['o', 'x', none]]"," [1, 2]"
"[[none, 'x', none], ['x', none, 'o'], ['o', 'x', none]]"," [1, 1]"
"[['x', 'x', none], ['x', 'o', 'o'], ['o', 'x', none]]"," [0, 2]"
"[[none, none, none], [none, none, none], [none, 'x', none]]"," [2, 2]"
"[[none, none, none], [none, 'x', none], [none, 'x', 'o']]"," [0, 1]"
"[[none, 'o', none], [none, 'x', none], ['x', 'x', 'o']]"," [0, 2]"
"[[none, 'o', 'o'], [none, 'x', 'x'], ['x', 'x', 'o']]"," [0, 0]"
"[[none, none, none], [none, none, none], [none, none, 'x']]"," [1, 1]"
"[[none, none, none], [none, 'o', none], [none, 'x', 'x']]"," [2, 0]"
"[['x', none, none], [none, 'o', none], ['o', 'x', 'x']]"," [0, 2]"
"[[none, none, 'x'], [none, none, none], [none, none, none]]"," [1, 1]"
"[[none, 'x', 'x'], [none, 'o', none], [none, none, none]]"," [0, 0]"
"[['o', 'x', 'x'], [none, 'o', none], ['x', none, none]]"," [2, 2]"
"[[none, none, none], [none, none, none], ['x', none, none]]"," [1, 1]"
"[[none, none, none], [none, 'o', 'x'], ['x', none, none]]"," [2, 2]"
"[[none, none, none], ['x', 'o', 'x'], ['x', none, 'o']]"," [0, 0]"
"[['x', none, none], [none, none, none], [none, none, none]]"," [1, 1]"
"[['x', none, none], [none, 'o', none], [none, none, 'x']]"," [2, 1]"
"[['x', none, 'x'], [none, 'o', none], [none, 'o', 'x']]"," [0, 1]"
"[[none, none, none], [none, none, none], [none, 'x', none]]"," [2, 2]"
"[[none, none, none], ['x', none, none], [none, 'x', 'o']]"," [0, 2]"
"[[none, none, 'o'], ['x', none, none], ['x', 'x', 'o']]"," [1, 2]"
"[[none, none, none], [none, none, none], ['x', none, none]]"," [1, 1]"
"[['x', none, none], [none, 'o', none], ['x', none, none]]"," [1, 0]"
"[['x', none, none], ['o', 'o', none], ['x', 'x', none]]"," [1, 2]"
"[[none, none, none], [none, none, none], [none, 'x', none]]"," [2, 2]"
"[[none, none, none], [none, 'x', none], [none, 'x', 'o']]"," [0, 1]"
"[[none, 'o', none], [none, 'x', none], ['x', 'x', 'o']]"," [0, 2]"
"[['x', 'o', 'o'], [none, 'x', none], ['x', 'x', 'o']]"," [1, 2]"
"[[none, none, none], ['x', none, none], [none, none, none]]"," [2, 0]"
"[[none, none, none], ['x', none, none], ['o', none, 'x']]"," [1, 2]"
"[[none, none, 'x'], ['x', none, 'o'], ['o', none, 'x']]"," [1, 1]"
"[[none, 'x', 'x'], ['x', 'o', 'o'], ['o', none, 'x']]"," [0, 0]"
"[[none, none, none], [none, none, 'x'], [none, none, none]]"," [2, 2]"
"[[none, none, none], [none, none, 'x'], [none, 'x', 'o']]"," [1, 1]"
"[[none, none, 'x'], [none, 'o', 'x'], [none, 'x', 'o']]"," [0, 0]"
"[[none, none, none], [none, none, none], [none, 'x', none]]"," [2, 2]"
"[[none, 'x', none], [none, none, none], [none, 'x', 'o']]"," [1, 1]"
"[[none, 'x', none], [none, 'o', none], ['x', 'x', 'o']]"," [0, 0]"
"[[none, 'x', none], [none, none, none], [none, none, none]]"," [2, 1]"
"[[none, 'x', none], [none, none, 'x'], [none, 'o', none]]"," [0, 2]"
"[['x', 'x', 'o'], [none, none, 'x'], [none, 'o', none]]"," [2, 0]"
"[['x', 'x', 'o'], [none, 'x', 'x'], ['o', 'o', none]]"," [2, 2]"
"[[none, none, 'x'], [none, none, none], [none, none, none]]"," [1, 1]"
"[[none, none, 'x'], [none, 'o', none], [none, none, 'x']]"," [1, 2]"
"[[none, 'x', 'x'], [none, 'o', 'o'], [none, none, 'x']]"," [1, 0]"
"[[none, none, none], [none, none, none], [none, 'x', none]]"," [2, 2]"
"[[none, none, none], ['x', none, none], [none, 'x', 'o']]"," [0, 2]"
"[[none, none, 'o'], ['x', none, 'x'], [none, 'x', 'o']]"," [1, 1]"
"[[none, 'x', 'o'], ['x', 'o', 'x'], [none, 'x', 'o']]"," [2, 0]"
"[[none, none, none], ['x', none, none], [none, none, none]]"," [2, 0]"
"[[none, none, none], ['x', none, none], ['o', 'x', none]]"," [1, 2]"
"[[none, 'x', none], ['x', none, 'o'], ['o', 'x', none]]"," [1, 1]"
"[[none, 'x', none], ['x', 'o', 'o'], ['o', 'x', 'x']]"," [0, 2]"
"[[none, none, none], [none, none, none], [none, none, 'x']]"," [1, 1]"
"[[none, 'x', none], [none, 'o', none], [none, none, 'x']]"," [1, 2]"
"[[none, 'x', none], ['x', 'o', 'o'], [none, none, 'x']]"," [2, 0]"
"[['x', 'x', none], ['x', 'o', 'o'], ['o', none, 'x']]"," [0, 2]"
"[[none, none, none], [none, none, none], [none, none, 'x']]"," [1, 1]"
"[[none, none, none], ['x', 'o', none], [none, none, 'x']]"," [2, 1]"
